Hora,Saldo,Lucro,Resultado,Stake,Tipo
09:00:55,10336.35,0.0,loss,103.36,PUT
09:07:49,10336.35,0.0,win,206.72,CALL
09:08:00,10336.35,0.0,loss,103.36,CALL
09:09:21,10336.35,0.0,loss,206.72,CALL
09:10:59,10336.35,0.0,win,413.44,CALL
09:11:11,10336.35,0.0,win,103.36,CALL
09:11:41,10336.35,0.0,loss,103.36,CALL
09:11:52,10336.35,0.0,win,206.72,CALL
09:12:03,10336.35,0.0,win,103.36,CALL
09:12:14,10336.35,0.0,loss,103.36,CALL
09:15:42,10336.35,0.0,loss,206.72,CALL
09:15:54,10336.35,0.0,win,413.44,CALL
09:16:57,10336.35,0.0,win,103.36,CALL
09:27:01,10336.35,0.0,win,103.36,CALL
09:33:11,10336.35,0.0,loss,103.36,CALL
09:42:03,10336.35,0.0,loss,206.72,CALL
09:42:14,10336.35,0.0,win,413.44,CALL
09:46:41,10336.35,0.0,loss,103.36,CALL
09:50:57,10336.35,0.0,win,206.72,CALL
09:54:54,10336.35,0.0,win,103.36,CALL
09:55:06,10336.35,0.0,loss,103.36,CALL
10:02:05,10336.35,0.0,loss,206.72,CALL
