Hora,Saldo,Lucro,Resultado,Stake,Tipo
03:44:10,10000,0,win,100.0,CALL
03:44:59,10095.36,95.36,loss,100.0,CALL
03:46:35,9995.36,-4.64,win,200.0,CALL
03:47:20,10186.07,186.07,win,100.0,CALL
03:48:06,10281.43,281.43,win,100.0,CALL
03:48:36,10376.79,376.79,loss,100.0,CALL
03:49:57,10276.79,276.79,win,200.0,CALL
03:51:07,10467.5,467.5,win,100.0,CALL
03:52:18,10562.86,562.86,loss,100.0,CALL
03:54:55,10462.86,462.86,win,200.0,CALL
03:55:53,10653.57,653.57,loss,100.0,CALL
03:56:39,10553.57,553.57,win,200.0,CALL
03:57:27,10744.28,744.28,loss,100.0,CALL
04:02:27,10644.28,644.28,loss,200.0,CALL
04:02:57,10444.28,444.28,loss,400.0,CALL
